,area,business_code,value
1174,207100,A,186.0
1175,207200,A,162.0
1176,207301,A,63.0
1177,207400,A,186.0
1178,207500,A,
1179,207600,A,186.0
1180,207700,A,60.0
1181,207800,A,168.0
1182,207900,A,138.0
1183,208001,A,390.0
1184,208100,A,261.0
1185,208200,A,258.0
1186,208301,A,195.0
1187,208401,A,93.0
1188,208500,A,117.0
1189,208601,A,177.0
1190,208700,A,222.0
1191,208800,A,141.0
1192,208901,A,21.0
1193,209000,A,141.0
1194,209100,A,123.0
1195,209201,A,138.0
1196,209301,A,93.0
1197,209401,A,144.0
1198,209500,A,123.0
1199,209601,A,63.0
1200,209700,A,129.0
1201,209800,A,96.0
1202,209901,A,171.0
1203,210000,A,99.0
1204,210100,A,12.0
1205,210201,A,144.0
1206,210300,A,129.0
1207,210400,A,96.0
1208,210500,A,24.0
1209,210600,A,93.0
1210,210700,A,93.0
1211,210800,A,75.0
1212,210900,A,120.0
1213,211000,A,117.0
1214,211100,A,72.0
1215,211201,A,129.0
1216,211301,A,48.0
1217,211302,A,24.0
1218,211401,A,57.0
1219,211500,A,39.0
1220,211600,A,12.0
1221,211701,A,51.0
1222,211800,A,60.0
1223,211900,A,60.0
1224,212000,A,30.0
1225,212100,A,48.0
1226,212201,A,150.0
1227,212301,A,96.0
1228,212400,A,24.0
1229,212500,A,33.0
1230,212600,A,21.0
1231,212700,A,
1232,212800,A,6.0
1233,212900,A,21.0
1234,213000,A,33.0
1235,213100,A,27.0
1236,213200,A,45.0
1237,213300,A,51.0
1238,213400,A,57.0
1239,213500,A,42.0
1240,213600,A,48.0
1241,213700,A,45.0
1242,213800,A,30.0
1243,213900,A,27.0
1244,214000,A,33.0
1245,214100,A,15.0
1246,214200,A,42.0
1247,214300,A,18.0
1248,214400,A,39.0
1249,214500,A,24.0
1250,214600,A,54.0
1251,214700,A,87.0
1252,214800,A,39.0
1253,214900,A,60.0
1254,215000,A,90.0
1255,215101,A,96.0
