,index,business_code,sex,age,ethnicity,value
546,145403,G,2,55-59,1,945
547,145408,G,2,55-59,2,644
548,145413,G,2,55-59,4,898
549,145758,I,1,15-19,1,1280
550,145763,I,1,15-19,2,750
551,145773,I,1,60-64,1,1416
552,145778,I,1,60-64,2,1400
553,145788,I,1,65-999,1,1026
554,145798,I,1,20-24,1,1219
555,145803,I,1,20-24,2,1026
556,145808,I,1,20-24,4,600
557,145818,I,1,25-29,1,1400
558,145823,I,1,25-29,2,1352
559,145828,I,1,25-29,4,1320
560,145838,I,1,30-34,1,1572
561,145843,I,1,30-34,2,1320
562,145848,I,1,30-34,4,1440
563,145858,I,1,35-39,1,2014
564,145863,I,1,35-39,2,1714
565,145868,I,1,35-39,4,1600
566,145878,I,1,40-44,1,2053
567,145883,I,1,40-44,4,2091
568,145893,I,1,45-49,1,1669
569,145898,I,1,45-49,4,1750
570,145908,I,1,50-54,1,1918
571,145913,I,1,50-54,2,1679
572,145923,I,1,55-59,1,1650
573,145928,I,1,55-59,2,1515
574,145973,I,2,15-19,2,1100
575,145983,I,2,60-64,1,1140
576,145993,I,2,65-999,1,520
577,146003,I,2,20-24,1,1216
578,146018,I,2,30-34,1,1400
579,146028,I,2,35-39,1,2685
580,146033,I,2,35-39,4,1227
581,146043,I,2,40-44,4,1138
582,146053,I,2,45-49,1,1690
583,146058,I,2,45-49,2,1690
584,146068,I,2,50-54,1,1343
585,146078,I,2,55-59,1,1197
586,146373,J,1,20-24,1,663
587,146383,J,1,25-29,4,1247
588,146393,J,1,30-34,1,1435
589,146398,J,1,30-34,4,1600
590,146408,J,1,35-39,1,2263
591,146418,J,1,40-44,1,2200
592,146428,J,1,45-49,1,2302
593,146438,J,1,50-54,1,3165
594,146448,J,1,55-59,1,1822
595,146488,J,2,25-29,1,1438
596,146498,J,2,30-34,1,1784
597,146508,J,2,40-44,1,2685
