Measure,Year,Area,ANZSIC06,Value,Flags
"Geographic Units","2022","Tasman Region","J Information Media and Telecommunications",45,
"Geographic Units","2022","Nelson Region","J Information Media and Telecommunications",66,
"Geographic Units","2022","Marlborough Region","J Information Media and Telecommunications",30,
"Geographic Units","2022","West Coast Region","J Information Media and Telecommunications",21,
"Geographic Units","2022","Canterbury Region","J Information Media and Telecommunications",519,
"Geographic Units","2022","Otago Region","J Information Media and Telecommunications",321,
"Geographic Units","2022","Southland Region","J Information Media and Telecommunications",57,
"Geographic Units","2022","Northland Region","K Financial and Insurance Services",984,
"Geographic Units","2022","Auckland Region","K Financial and Insurance Services",18765,
"Geographic Units","2022","Waikato Region","K Financial and Insurance Services",3825,
"Geographic Units","2022","Bay of Plenty Region","K Financial and Insurance Services",2994,
"Geographic Units","2022","Gisborne Region","K Financial and Insurance Services",261,
"Geographic Units","2022","Hawke's Bay Region","K Financial and Insurance Services",1572,
"Geographic Units","2022","Taranaki Region","K Financial and Insurance Services",1122,
"Geographic Units","2022","Manawatu-Wanganui Region","K Financial and Insurance Services",1221,
"Geographic Units","2022","Wellington Region","K Financial and Insurance Services",3987,
"Geographic Units","2022","Tasman Region","K Financial and Insurance Services",300,
"Geographic Units","2022","Nelson Region","K Financial and Insurance Services",447,
"Geographic Units","2022","Marlborough Region","K Financial and Insurance Services",333,
"Geographic Units","2022","West Coast Region","K Financial and Insurance Services",111,
"Geographic Units","2022","Canterbury Region","K Financial and Insurance Services",4908,
"Geographic Units","2022","Otago Region","K Financial and Insurance Services",2235,
"Geographic Units","2022","Southland Region","K Financial and Insurance Services",942,
"Geographic Units","2022","Area Outside Region","K Financial and Insurance Services",6,
"Geographic Units","2022","Northland Region","L Rental, Hiring and Real Estate Services",4089,
"Geographic Units","2022","Auckland Region","L Rental, Hiring and Real Estate Services",48837,
"Geographic Units","2022","Waikato Region","L Rental, Hiring and Real Estate Services",12615,
"Geographic Units","2022","Bay of Plenty Region","L Rental, Hiring and Real Estate Services",8061,
"Geographic Units","2022","Gisborne Region","L Rental, Hiring and Real Estate Services",996,
"Geographic Units","2022","Hawke's Bay Region","L Rental, Hiring and Real Estate Services",4389,
"Geographic Units","2022","Taranaki Region","L Rental, Hiring and Real Estate Services",2934,
"Geographic Units","2022","Manawatu-Wanganui Region","L Rental, Hiring and Real Estate Services",5409,
"Geographic Units","2022","Wellington Region","L Rental, Hiring and Real Estate Services",11586,
"Geographic Units","2022","Tasman Region","L Rental, Hiring and Real Estate Services",1401,
"Geographic Units","2022","Nelson Region","L Rental, Hiring and Real Estate Services",1365,
"Geographic Units","2022","Marlborough Region","L Rental, Hiring and Real Estate Services",1356,
"Geographic Units","2022","West Coast Region","L Rental, Hiring and Real Estate Services",483,
"Geographic Units","2022","Canterbury Region","L Rental, Hiring and Real Estate Services",15936,
