Number of dependent children,0,1,2,3,4
147400,27,9,3,0,0
147500,504,186,144,57,39
147600,528,105,93,27,6
147800,618,150,150,42,3
147900,72,18,12,9,9
148000,462,114,129,27,0
148100,672,198,186,45,12
148200,282,108,87,51,45
148300,315,135,93,27,6
148400,498,120,162,33,12
148500,159,69,78,51,54
148600,228,117,102,57,72
148700,540,93,66,24,6
148800,315,141,141,36,6
148900,282,141,117,75,102
149000,843,240,180,57,21
149100,405,132,78,21,21
149200,729,192,186,42,15
149300,492,204,183,48,12
149400,270,144,105,60,72
149500,366,123,99,42,39
149700,645,294,234,51,21
149800,561,162,153,42,21
149900,777,117,117,48,18
150000,201,105,96,78,99
150100,150,42,30,12,12
150200,270,126,114,78,72
150300,573,210,129,66,72
150400,714,243,216,63,21
150500,426,168,147,42,12
150600,822,210,228,57,9
150700,432,213,186,39,15
150800,264,129,120,66,81
150900,321,87,81,51,36
151000,243,144,126,84,72
151100,348,57,54,18,3
151200,255,126,90,75,66
151300,1011,258,192,39,12
151400,480,180,132,57,45
151500,582,201,150,48,18
151600,312,108,99,69,81
151700,312,42,42,12,3
151800,348,147,144,60,75
151900,573,153,135,60,51
152000,696,204,198,48,6
152100,318,138,114,48,42
152200,510,171,144,33,6
152300,78,15,3,0,0
152400,813,210,210,39,6
152500,348,81,81,24,9
152600,135,69,57,36,39
152800,318,168,129,66,69
152900,471,123,129,39,6
153000,177,72,66,48,39
153100,567,141,117,21,6
153200,117,75,57,30,30
153300,387,183,147,57,45
153400,918,183,240,78,12
153500,222,105,99,87,69
153600,213,75,81,33,33
153700,543,159,171,36,12
153800,804,249,258,48,9
153900,438,111,114,21,0
154000,780,243,153,63,36
154100,480,159,123,51,15
154200,495,228,201,87,78
154300,534,150,171,51,9
154400,216,78,81,60,51
154500,552,108,84,15,3
154700,486,99,114,36,6
154800,621,225,192,69,54
154900,957,273,183,51,18
155000,555,147,237,78,15
155100,261,141,117,78,84
155200,426,159,132,24,6
155300,327,111,102,21,3
155400,531,156,159,36,9
155500,258,39,6,3,3
155600,570,219,159,66,36
155700,261,117,120,72,78
155800,267,153,123,93,96
155900,420,186,144,48,48
156000,51,12,6,3,0
156100,300,138,147,33,6
156200,660,192,171,42,18
156300,423,165,123,45,12
156400,510,141,228,66,6
156500,570,222,153,48,27
156600,285,150,177,36,12
156700,288,147,102,27,18
156800,153,72,66,57,63
156900,462,216,228,54,18
157000,384,126,84,24,15
157100,543,129,138,57,18
157200,165,93,90,57,42
157300,240,126,138,39,9
157400,501,111,132,39,12
157500,390,174,156,60,27
157600,48,6,9,6,3
157700,312,165,150,78,102
157800,363,165,204,69,18
157900,465,183,171,93,48
158000,453,138,90,33,21
158100,444,258,294,90,36
158200,267,156,192,39,12
158300,444,171,144,48,21
158400,378,159,150,84,93
158500,615,231,159,75,21
