Household composition,Total households - household composition
    223900,144
    224000,735
    224100,456
    224200,930
    224300,1098
    224400,675
    224500,627
    224600,852
    224700,54
    224800,906
    224900,636
    225000,474
    225100,921
    225200,648
    225300,1038
    225400,705
    225500,951
    225600,567
    225700,267
    225800,792
    225900,900
    226000,267
    226100,657
    226300,435
    226400,510
    226500,684
    226600,381
    226700,1239
    226800,315
    226900,798
    227000,693
    227100,522
    227200,744
    227300,474
    227400,540
    227500,750
    227600,459
    227700,177
    227800,465
    227900,1062
    228000,873
    228100,1098
    228200,684
    228300,969
    228400,354
    228500,786
    228600,666
    228700,567
    228800,666
    228900,108
    229000,894
    229100,693
    229200,147
    229300,1074
    229400,570
    229500,1014
    229600,1251
    229700,87
    229800,975
    229900,918
    230000,834
    230100,912
    230200,870
    230300,894
    230400,750
    230500,1053
    230600,405
    230700,1242
    230800,1281
    230900,537
    231000,885
    231100,780
    231200,1131
    231300,1224
    231400,666
    231500,999
    231600,762
    231700,921
    231800,1173
    231900,21
    232000,642
    232100,372
    232200,1074
    232300,711
    232400,237
    232500,414
    232600,243
    232700,1098
    232800,615
    232900,486
    233000,678
    233100,648
    233200,885
    233300,1293
    233400,228
    233500,225
    233600,1053
    233700,597
    233800,285
    234000,348
    234100,822
    234200,537
    234300,723
    234400,882
    234500,321
    234600,633
    234700,453
    234800,825
    234900,960
    235000,567
    235100,681
    235200,537
    235300,447
    235400,537
    235500,921
    235600,762
    235700,561
    235800,651
    235900,522
    236000,372
    236100,168
    259300,0
    259900,0
  09,185382
    233900,3
    236200,0
    236300,765
    236400,255
    236500,1416
    236600,585
    236700,396
    236800,1386
    236900,246
    237000,1482
    237100,1017
    237200,900
    237300,1110
    237400,306
    237500,1449
    237600,1968
    237700,297
    237800,1695
    237900,486
    238000,1155
    238100,960
    238200,0
    238300,948
    238400,801
    238500,1416
    238600,711
    238700,0
    238800,705
    238900,135
    239000,840
    239100,981
    239200,1266
    239300,696
    239400,312
    239500,624
    239600,726
    239700,0
    239800,972
    239900,33
    240000,759
    240100,1062
    240200,927
    240300,804
    240400,1059
    240500,681
    240600,1482
    240700,915
    240800,1044
    240900,465
    241000,933
    241100,414
    241200,237
    241300,582
    241400,930
    241500,1275
    241600,891
    241700,780
    241800,1266
    241900,1230
    242000,1218
    242100,1041
    242200,441
    242300,681
    242400,1047
    242500,990
    242600,1125
    242700,351
    242800,708
    242900,864
    243000,213
    243100,111
    243200,1401
    243300,540
    243400,1002
    243500,723
    243600,936
    243700,339
    243800,414
    243900,135
    244000,1056
    244100,933
    244200,936
    244300,396
    244400,1035
    244500,702
    244600,1017
    244700,1569
    244800,1143
    244900,1182
    245000,1047
    245100,1167
    245200,939
    245300,660
    245400,1158
    245500,849
    245600,1095
    245700,66
    245800,645
    245900,816
    246000,1590
    246100,1164
    246200,855
    246300,618
    246400,900
    246500,0
    246600,891
    246700,813
    246800,228
    246900,1200
    247000,1233
    247100,609
    247200,1089
    247300,1035
    247400,912
    247500,321
    247600,1053
    247700,1152
    247800,1089
    247900,1017
    248000,726
    248100,1221
    248200,96
    248300,1188
    248400,1149
    248500,561
    248600,1113
    248700,1029
    248800,954
    248900,1056
    249000,591
    249100,639
    249200,624
    249300,735
    249400,1659
    249500,1359
    249600,1173
    249700,1380
    249800,546
    249900,933
    250000,978
    250100,876
    250200,723
    250300,1398
    250400,1539
    250500,663
    250600,1230
    250700,387
    250800,1317
    250900,1860
    251000,273
    251100,765
    251200,1410
    251300,396
    251400,1269
    251500,801
    251600,1629
    251700,1362
    251800,831
    251900,1098
    252000,1647
    252100,1146
    252200,645
    252300,666
    252400,882
    252500,1785
    252600,747
    252700,687
    252800,1221
    252900,678
    253000,1269
    253100,1488
    253200,432
    253300,1554
    253400,564
    253500,585
    253600,1404
    253700,1065
    253800,1185
    253900,492
    254000,1239
    254100,465
    254200,807
    254300,1029
    254400,783
    254500,432
    254600,594
    254700,648
    254800,1080
    254900,1257
    255000,24
    255100,1350
    255200,819
    255300,348
    255400,438
    255500,435
    255600,654
    255700,924
    255800,645
    255900,267
    256000,651
    256100,810
    256200,1317
    256300,1041
    256400,909
    256500,555
    256600,387
    256700,540
    256800,669
    256900,1095
    257000,429
    257100,1119
    257200,333
    257300,522
    257400,396
    257500,1035
    257600,0
    257700,1044
    257800,594
    257900,741
    259600,0
    259700,0
  16,19545
    300200,0
    300300,975
    300400,0
    300500,552
    300600,597
    300700,435
    300800,591
    300900,723
    301000,597
    301100,987
    301200,783
    301300,1206
    301400,0
    301500,678
    301600,1182
    301700,972
    301800,564
    301900,0
    302000,45
    302100,402
    302200,261
    302300,864
    302400,321
    302500,465
    302600,744
    302700,327
    302800,732
    302900,951
    303000,210
    303100,867
    303200,687
    303300,1005
    303400,678
    303500,144
  17,19821
    303600,657
    303700,54
    303800,444
    303900,9
    304000,33
    304100,1206
    304200,768
    304300,1131
    304400,927
    304500,1011
    304600,1149
    304700,228
    304800,1263
    304900,615
    305000,717
    305100,1236
    305200,558
    305300,1008
    305400,867
    305500,558
    305600,885
    305700,27
    305800,1041
    305900,1311
    306000,1095
    306100,288
    306200,735
    363500,0
  18,18675
    306300,816
    306400,9
    306500,825
    306600,741
    306700,609
    306800,1341
    306900,477
    307000,594
    307100,909
    307200,456
    307300,720
    307400,381
    307500,1245
    307600,1017
    307700,660
    307800,1077
    307900,453
    308000,852
    308100,993
    308200,1083
    308300,1017
    308400,1149
    308500,150
    308600,1098
    308700,0
    363600,0
  12,13503
    309000,381
    309100,0
    309200,858
    309300,498
    309400,1140
    309500,447
    309600,225
    309700,402
    309800,447
    309900,411
    310000,519
    310100,666
    310200,375
    310300,402
    310400,486
    310500,495
    310600,408
    310700,513
    310800,285
    310900,342
    311000,276
    311100,186
    311200,144
    311300,477
    311400,522
    311500,1305
    311600,0
    311700,570
    311800,213
    311900,276
    312000,240
    363400,0
  13,225408
    308800,585
    308900,873
    312100,102
    312200,834
    312300,375
    312400,594
    312500,546
    312600,234
    312700,486
    312800,921
    312900,834
    313000,258
    313100,420
    313200,858
    313300,798
    313400,735
    313500,627
    313600,507
    313700,762
    313800,456
    313900,834
    314000,1062
    314100,573
    314200,774
    314300,459
    314400,15
    314500,876
    314600,1176
    314700,594
    314800,1056
    314900,855
    315000,276
    315100,333
    315200,318
    315300,984
    315400,936
    315500,471
    315600,402
    315700,792
    315800,351
    315900,1221
    316000,462
    316100,915
    316200,714
    316300,147
    316400,63
    316500,114
    316600,552
    316700,75
    316800,279
    316900,729
    317000,495
    317100,240
    317200,480
    317300,903
    317400,1371
    317500,399
    317600,381
    317700,933
    317800,1614
    317900,1560
    318000,1086
    318100,687
    318200,366
    318300,1104
    318400,258
    318500,534
    318600,990
    318700,942
    318800,807
    318900,663
    319000,804
    319100,135
    319200,1209
    319300,1182
    319400,741
    319500,930
    319600,1254
    319700,1197
    319800,486
    319900,1158
    320000,57
    320100,1128
    320200,1218
    320300,894
    320400,45
    320500,1014
    320600,1074
    320700,1041
    320800,1071
    320900,927
    321000,1410
    321100,1692
    321200,369
    321300,1137
    321400,1275
    321500,750
    321600,879
    321700,1158
    321800,942
    321900,765
    322000,477
    322100,918
    322200,1071
    322300,132
    322400,906
    322500,279
    322600,792
    322700,804
    322800,459
    322900,351
    323000,1284
    323100,1389
    323200,501
    323300,999
    323400,1479
    323500,69
    323600,420
    323700,1290
    323800,966
    323900,1182
    324000,873
    324100,249
    324200,21
    324300,885
    324400,1245
    324500,1251
    324600,978
    324700,183
    324800,1311
    324900,12
    325000,1089
    325100,1476
    325200,378
    325300,1863
    325400,1242
    325500,12
    325600,1236
    325700,501
    325800,1176
    325900,867
    326000,471
    326100,786
    326200,39
    326300,1236
    326400,3
    326500,918
    326600,111
    326700,1011
    326800,948
    326900,1251
    327000,846
    327100,174
    327200,1647
    327300,684
    327400,1200
    327500,894
    327600,1527
    327700,1218
    327800,678
    327900,2115
    328000,933
    328100,57
    328200,954
    328300,1113
    328400,1029
    328500,990
    328600,1392
    328700,645
    328800,72
    328900,1668
    329000,321
    329100,1473
    329200,1176
    329300,768
    329400,810
    329500,822
    329600,612
    329700,1128
    329800,903
    329900,849
    330000,780
    330100,1314
    330200,1431
    330300,1116
    330400,1086
    330500,921
    330600,897
    330700,27
    330800,1107
    330900,504
    331000,465
    331100,1284
    331200,849
    331300,1278
    331400,897
    331500,216
    331600,30
    331700,1287
    331800,390
    331900,873
    332000,1419
    332100,822
    332200,339
    332300,0
    332400,624
    332500,1269
    332600,0
    332700,1338
    332800,87
    332900,666
    333000,0
    333100,498
    333200,258
    333300,330
    333400,3
    333500,288
    333600,81
    333700,447
    333800,438
    333900,486
    334000,1053
    334100,474
    334200,627
    334300,333
    334400,585
    334500,1113
    334600,675
    334700,249
    334800,6
    334900,1188
    335000,729
    335100,1053
    335200,1440
    335300,864
    335400,906
    335500,1071
    335600,663
    335700,1497
    335800,513
    335900,564
    336000,924
    336100,1212
    336200,828
    336300,384
    336400,234
    336500,0
    336600,57
    336700,546
    336800,840
    336900,723
    337000,558
    337100,870
    337200,600
    337300,579
    337400,1008
    337500,813
    337600,576
    337700,378
    337800,852
    337900,489
    338000,66
    338100,447
    338200,897
    338300,756
    338400,789
    338500,1149
    338600,57
    338700,528
    338800,390
    338900,1173
    339000,687
    339100,696
    339200,558
    339300,957
    339400,522
    339500,462
    339600,954
    339700,603
    339800,411
    339900,633
    340000,951
    340100,723
    340200,648
    340300,735
    340400,963
    340500,510
    340600,912
    340700,1179
    340800,969
    340900,0
    341000,909
    341100,171
    341200,123
    341300,1053
    341400,642
    341500,375
    341600,0
    341700,0
    341800,609
    341900,501
    342000,378
    342100,327
    342200,279
    342300,243
    342400,396
    342500,237
    342600,441
    342700,600
    342800,765
    343100,324
    343200,0
    343300,399
    363800,0
  14,85665
    343400,681
    343500,501
    343600,585
    343700,789
    343800,411
    343900,981
    344000,1158
    344100,522
    344200,675
    344300,603
    344400,132
    344500,981
    344600,0
    344700,429
    344800,963
    344900,1116
    345000,993
    345100,441
    345200,252
    345300,612
    345400,528
    345500,1173
    345600,1158
    345700,693
    345800,750
    345900,162
    346000,177
    346100,3
    346200,282
    346300,0
    346400,309
    346500,0
    346600,765
    346700,816
    346800,669
    346900,687
    347000,543
    347100,444
    347200,426
    347300,144
    347400,354
    347500,483
    347600,3
    347700,390
    347800,861
    347900,993
    348000,234
    348100,261
    348200,441
    348300,603
    348400,1017
    348500,132
    348600,447
    348700,633
    348800,585
    348900,321
    349000,267
    349100,675
    349200,552
    349300,897
    349400,546
    349500,0
    349600,798
    349700,1032
    349800,1182
    349900,1236
    350000,1254
    350100,315
    350200,432
    350300,786
    350400,669
    350500,456
    350600,450
    350700,933
    350800,0
    350900,885
    351000,1725
    351100,1092
    351200,615
    351300,882
    351400,438
    351500,924
    351600,1158
    351700,633
    351800,594
    351900,528
    352000,729
    352100,870
    352200,867
    352300,783
    352400,426
    352500,441
    352600,948
    352700,630
    352800,528
    352900,582
    353000,480
    353100,345
    353200,420
    353300,1176
    353400,678
    353500,909
    353600,756
    353700,24
    353800,672
    353900,378
    354000,564
    354100,582
    354200,1029
    354300,45
    354400,732
    354500,783
    354600,558
    354700,1233
    354800,897
    354900,1029
    355000,621
    355100,483
    355200,1236
    355300,612
    355400,618
    355500,1092
    355600,894
    355700,750
    355800,909
    355900,513
    356000,465
    356100,570
    356200,780
    356300,579
    356400,861
    356500,1071
    356600,654
    356700,183
    356800,441
    356900,0
    363900,0
  15,38646
    357000,3
    357100,6
    357200,0
    357300,309
    357400,0
    357500,987
    357600,231
    357700,471
    357800,0
    357900,801
    358000,585
    358100,540
    358200,531
    358300,774
    358400,1071
    358500,414
    358600,1017
    358700,417
    358800,693
    358900,441
    359000,402
    359100,864
    359200,0
    359300,222
    359400,360
    359500,834
    359600,582
    359700,474
    359800,693
    359900,1119
    360000,594
    360100,105
    360200,606
    360300,243
    360400,660
    360500,594
    360600,1413
    360700,987
    360800,384
    360900,1119
    361000,462
