sa2,ethnicity,age,fully_imms,partial_imms
103000,Maori,13-17,0.9078947368421053,0.05263157894736842
103000,Others,13-17,0.7529411764705882,0.07058823529411765
103000,Pacific,13-17,0.6666666666666666,0.0
103000,Asian,5-12,0.8888888888888888,0.037037037037037035
103000,Maori,5-12,0.7851239669421488,0.11570247933884298
103000,Others,5-12,0.7920792079207921,0.0594059405940594
103000,Pacific,5-12,1.0,0.0
103000,Unknown,5-12,0.0,0.0
103100,Asian,1-4,0.9230769230769231,0.0
103100,Maori,1-4,0.6,0.1
103100,Others,1-4,0.6896551724137931,0.05172413793103448
103100,Pacific,1-4,0.3333333333333333,0.0
103100,Asian,13-17,0.6666666666666666,0.0
103100,Maori,13-17,0.8181818181818182,0.12121212121212122
103100,Others,13-17,0.7786885245901639,0.04918032786885246
103100,Asian,5-12,0.85,0.1
103100,Maori,5-12,0.8181818181818182,0.10606060606060606
103100,Others,5-12,0.8783783783783784,0.02702702702702703
103100,Pacific,5-12,0.6666666666666666,0.0
103200,Maori,1-4,0.6756756756756757,0.13513513513513514
103200,Others,1-4,0.8,0.0
103200,Pacific,1-4,1.0,0.0
103200,Asian,13-17,0.6666666666666666,0.0
103200,Maori,13-17,0.7708333333333334,0.125
103200,Others,13-17,0.8333333333333334,0.0
103200,Pacific,13-17,1.0,0.0
103200,Maori,5-12,0.8108108108108109,0.10810810810810811
103200,Others,5-12,0.8571428571428571,0.0
103300,Asian,1-4,1.0,0.0
103300,Maori,1-4,0.5769230769230769,0.11538461538461539
103300,Others,1-4,0.7407407407407407,0.037037037037037035
103300,Maori,13-17,0.696969696969697,0.18181818181818182
103300,Others,13-17,0.7692307692307693,0.057692307692307696
103300,Asian,5-12,0.8,0.0
103300,Maori,5-12,0.896551724137931,0.034482758620689655
103300,Others,5-12,0.7346938775510204,0.05102040816326531
103400,Maori,1-4,0.4367816091954023,0.20689655172413793
103400,Others,1-4,0.7142857142857143,0.14285714285714285
103400,Pacific,1-4,0.5,0.0
103400,Asian,13-17,0.5,0.0
103400,Maori,13-17,0.8785714285714286,0.07857142857142857
103400,Others,13-17,0.8181818181818182,0.0
103400,Pacific,13-17,1.0,0.0
103400,Asian,5-12,1.0,0.0
103400,Maori,5-12,0.8486486486486486,0.07027027027027027
103400,Others,5-12,0.8888888888888888,0.0
103500,Asian,1-4,0.8461538461538461,0.15384615384615385
103500,Maori,1-4,0.5472312703583062,0.1465798045602606
103500,Others,1-4,0.6923076923076923,0.15384615384615385
103500,Pacific,1-4,0.5,0.3333333333333333
103500,Asian,13-17,1.0,0.0
103500,Maori,13-17,0.8329355608591885,0.06682577565632458
103500,Others,13-17,0.9130434782608695,0.0
103500,Pacific,13-17,0.5,0.25
103500,Asian,5-12,0.75,0.08333333333333333
103500,Maori,5-12,0.8137108792846498,0.07600596125186289
103500,Others,5-12,0.7931034482758621,0.13793103448275862
103500,Pacific,5-12,0.5714285714285714,0.21428571428571427
103600,Maori,1-4,0.7368421052631579,0.10526315789473684
103600,Others,1-4,0.75,0.05
103600,Maori,13-17,0.8181818181818182,0.18181818181818182
103600,Others,13-17,0.8518518518518519,0.07407407407407407
103600,Maori,5-12,0.8545454545454545,0.09090909090909091
103600,Others,5-12,0.78,0.04
103700,Asian,1-4,0.8,0.0
103700,Maori,1-4,0.5238095238095238,0.14285714285714285
