SA2 Code,Family Type Code,People Count Code,Dependent Children Count Code,Count
129700,2,6,111,s
178200,3,8,414,s
319700,3,3,911,s
211700,3,2,111,9
138200,2,6,311,s
137500,3,4,311,12
176100,2,7,412,s
251200,3,4,211,s
325200,2,3,111,24
118900,3,3,211,15
103100,2,4,211,66
138600,2,6,411,s
215300,3,5,411,15
107000,2,6,211,s
211500,2,7,412,s
318600,2,5,11,s
158900,3,3,211,6
248100,3,2,111,36
131200,3,3,211,18
127900,3,5,11,s
165600,2,3,111,54
347800,3,2,11,9
116700,2,4,111,24
157000,2,4,111,15
155200,3,4,11,s
348500,3,4,311,s
160500,3,6,11,s
334700,2,7,412,s
112100,2,8,311,s
221800,2,5,911,s
332000,3,3,111,s
158200,3,5,111,s
136800,2,7,411,s
217600,2,5,211,s
313800,2,8,411,s
350500,2,4,11,9
153900,2,5,211,6
312300,3,3,11,s
121600,2,5,111,6
232400,2,4,111,6
241000,3,6,311,s
157400,2,5,311,36
123300,2,5,311,42
321700,3,3,911,s
350400,3,3,211,18
107600,2,4,211,36
163900,2,15,413,s
182600,2,3,11,33
171500,3,6,211,s
211100,2,4,911,s
178200,2,5,311,48
110700,3,3,111,6
123600,2,5,911,s
310600,2,3,11,27
121400,2,6,311,s
313000,3,2,111,s
325600,3,2,11,42
207000,2,5,311,33
194200,3,4,311,s
228200,2,6,411,s
186000,3,7,413,s
186800,3,2,911,s
194400,2,6,411,6
353300,3,4,311,9
161000,3,4,311,6
129700,3,3,111,6
139400,2,4,211,111
118300,3,3,111,s
147000,2,6,911,s
337500,2,6,211,s
191700,3,5,411,s
147000,2,3,911,s
348600,2,3,111,30
246600,3,5,411,s
300800,3,3,211,15
120900,3,6,311,s
121900,3,4,311,s
217500,3,7,413,s
257300,3,2,11,s
121700,2,6,411,s
320300,3,4,111,s
305100,2,6,411,6
240300,2,7,111,s
317900,1,2,11,507
131200,2,4,911,s
127400,2,6,411,s
171500,2,9,414,s
103900,2,5,211,s
121900,1,2,11,351
241000,2,8,411,s
228300,3,6,311,s
252300,2,6,411,s
358900,3,2,111,6
172400,2,7,412,s
329700,2,5,211,s
151900,2,5,211,12
229100,2,5,911,s
162400,2,10,415,s
330500,3,4,911,s
177200,2,7,412,s
158800,3,7,413,s
223700,2,8,413,s
343900,2,5,111,s
167500,3,3,11,s
224200,3,3,211,21
152600,2,10,414,s
234100,3,5,411,s
225300,3,2,111,69
307000,2,3,111,27
113600,3,2,11,21
177800,2,4,211,45
332400,2,6,211,s
141500,2,3,111,72
345400,2,3,111,24
144400,3,6,211,s
134300,1,2,11,390
201800,3,3,111,s
251000,2,3,111,9
310300,3,3,911,s
193500,2,3,911,s
317400,2,6,111,s
302100,1,2,11,165
115500,3,2,111,9
223800,2,5,11,s
314600,2,4,911,s
324400,2,6,211,s
166900,2,6,411,s
101600,3,3,11,s
154300,2,4,11,27
356500,2,4,211,60
195400,1,2,11,621
229600,2,6,411,s
138700,2,6,111,s
304700,3,3,211,s
137800,2,3,11,33
249500,2,7,311,s
181900,3,4,211,s
315800,2,3,111,30
156600,2,4,211,144
333600,2,4,211,s
324700,3,6,211,s
305000,3,6,412,s
132700,2,3,11,9
336100,2,10,415,s
245100,2,5,311,27
132500,2,6,211,s
132200,3,4,311,6
111600,2,5,211,9
158500,2,8,412,s
254900,3,3,111,12
167800,3,4,911,s
193600,3,6,211,s
241600,2,10,415,s
168100,3,2,111,12
185300,2,8,911,s
185700,3,2,111,6
208100,3,3,11,s
225400,2,6,11,s
244200,2,6,411,6
139800,2,9,413,s
128100,1,2,11,282
300900,2,7,412,s
240300,3,4,11,s
320600,2,6,411,s
155800,2,5,11,6
176500,3,4,111,s
301800,2,4,911,s
124400,2,5,11,s
328000,2,7,412,s
335100,2,7,412,s
167100,2,3,11,39
334200,2,5,211,s
136400,2,6,411,s
347200,1,2,11,126
219900,2,3,111,12
242100,3,6,412,s
123700,2,6,111,s
180300,2,3,111,75
355100,2,6,311,s
206500,2,6,411,s
182800,3,3,111,s
178300,2,6,911,s
149500,2,5,311,21
185900,2,9,414,s
137500,2,6,211,s
147200,3,2,111,60
192100,3,2,911,s
239900,3,2,111,s
257800,3,4,311,s
175600,2,5,11,s
338400,2,4,211,66
339500,2,9,414,s
354800,3,4,311,s
180500,3,3,911,s
104500,3,3,211,18
212400,2,4,11,s
356400,2,3,11,36
122000,2,4,11,15
341000,2,5,311,15
248300,1,2,11,327
235500,2,7,412,s
135900,1,2,11,93
108000,3,2,11,9
313100,1,2,11,150
232700,3,2,11,15
221700,2,7,412,s
159000,3,4,211,s
309400,2,7,412,s
362400,3,3,111,9
157700,3,6,311,s
236800,2,5,311,27
338100,2,7,311,s
200700,3,3,111,s
182600,2,4,211,102
201300,2,5,11,s
145600,2,3,11,36
128300,3,4,111,6
150600,2,4,111,57
242300,3,4,211,s
159100,2,9,413,s
240800,2,10,413,s
104000,2,4,111,s
112100,3,4,11,s
142500,2,7,311,s
184200,2,6,911,s
135000,3,3,111,6
160300,2,8,411,s
147500,3,9,414,s
125500,2,5,311,33
351300,2,4,11,6
198600,3,3,111,12
242400,3,5,311,s
207100,2,4,211,45
246700,3,4,311,s
124000,2,4,211,141
148800,1,2,11,171
213200,2,3,111,60
133200,2,4,211,12
244500,2,3,11,30
301500,3,3,111,s
349200,2,5,311,12
159000,1,2,11,225
237600,1,2,11,741
123700,3,3,111,9
308600,2,5,11,s
230800,3,6,411,s
166400,1,2,11,240
180400,3,3,111,s
136200,2,6,211,s
303100,1,2,11,339
329200,3,3,11,s
218300,2,6,911,s
147000,2,5,11,s
195300,2,6,411,21
220400,3,5,111,s
149400,2,3,11,60
206400,2,3,111,51
212000,2,3,111,24
117900,2,3,911,s
336900,2,5,211,s
355800,3,4,311,6
217200,3,3,111,s
130100,2,6,11,s
255200,2,6,411,9
240000,3,3,911,s
332500,3,4,11,s
323300,3,6,412,s
186200,3,3,111,s
340500,2,5,111,s
139000,2,5,211,s
350600,3,3,11,s
233300,2,7,211,s
332500,2,5,111,s
344200,2,8,311,s
257200,2,5,311,24
100100,2,5,311,15
313300,1,2,11,360
130700,1,2,11,369
334400,3,3,211,s
193200,2,4,11,9
111300,2,4,11,9
112500,3,3,211,6
201200,3,4,311,s
194600,2,5,311,33
195900,2,5,111,s
